charge,smiles,b,s,o,n,homo,lumo,gap,sheafHOMO,sheafLUMO,sheafGAP,electrons
0,[H]B1c2c([H])c([H])c([H])c([H])c2B([H])c2c1c([H])c([H])c1c([H])c3c4c(c5bc([H])c([H])c([H])c5c3bc21)C([H])=C([H])B4[H],5,0,0,0,-6.2877,-2.0823,4.2054,1.582,1.7083,0.12629999999999986,24.0
0,[H]B1C2=c3bc([H])c([H])c([H])c3=C2c2c1c([H])c([H])c1c2c2c(c3c([H])c([H])c([H])c([H])c31)C([H])=C([H])B2[H],3,0,0,0,-6.3171,-2.1387,4.1784,2.0,2.0633,0.06329999999999991,23.0
0,[H]c1c([H])c([H])c2c([H])c3c(c([H])c([H])c4c([H])c([H])c5c(c([H])c([H])c6bc([H])c7c([H])c([H])c([H])c([H])c7c65)c43)c([H])c2c1[H],1,0,0,0,-6.5737,-1.0105,5.5632,1.8953,2.5714,0.6761000000000001,29.0
0,[H]B1c2bc([H])c3c([H])c4c([H])c5c([H])c([H])c6bc([H])c([H])bc6c5c([H])c4c([H])c3c2-c2c1c([H])c1c([H])c3c([H])c([H])c([H])c([H])c3c([H])c1c2[H],4,0,0,0,-6.1086,-1.846,4.2626,1.7849,1.9711,0.18620000000000014,33.0
0,[H]c1bc2c([H])c3c([H])c4c(c([H])c([H])c5c6c([H])c([H])c([H])c([H])c6c6c([H])c([H])c([H])c([H])c6c45)c([H])c3c([H])c2c([H])c1[H],1,0,0,0,-6.0906,-1.2987,4.7919,1.9549,2.4329,0.478,29.0
0,[H]c1bc2c(c([H])c1[H])c([H])c([H])c1c3c4bc([H])c5c([H])c([H])c([H])c([H])c5c4c-3c12,2,0,0,0,-6.047,-1.3451,4.7019,1.8189,2.4928,0.6738999999999999,20.0
0,[H]B1C([H])=C([H])B([H])c2bc3c(bc21)B([H])c1c-3c2c1c1c([H])c([H])c3c([H])c([H])c([H])c([H])c3c1c1c3c([H])c([H])c3c21,5,0,0,0,-6.32,-2.702,3.618,1.6985,1.9299,0.23140000000000005,26.0
0,[H]B1C([H])=C([H])B([H])c2bc3c(bc21)c1c([H])c2c(c([H])c1c1c([H])c([H])c4c5c([H])c([H])c([H])c([H])c5c([H])c([H])c4c31)B([H])C1=c3bc([H])c([H])bc3=C1B2[H],8,0,0,0,-6.6922,-2.465,4.2272,1.5013,1.6424,0.1411,32.0
0,[H]c1bc([H])c2c([H])c([H])c([H])c([H])c2c1[H],1,0,0,0,-6.9367,-0.3723,6.5644,1.382,2.618,1.236,9.0
0,[H]c1bc2c(bc1[H])c1c3c([H])c([H])c([H])c([H])c3c([H])c([H])c1c1c([H])c([H])c([H])c([H])c21,2,0,0,0,-6.1057,-0.6221,5.4836,1.7392,1.8761,0.13690000000000002,20.0
0,[H]B1C([H])=C([H])B([H])c2c1c([H])c1c3bc4c5c(c6bc([H])c([H])bc6c4bc3c3c([H])c([H])c([H])c([H])c3c1c2[H])B([H])c1c([H])c([H])c([H])c([H])c1B5[H],8,0,0,0,-6.0109,-2.1544,3.856500000000001,1.4091,1.5629,0.15379999999999994,30.0
