smiles,HOMO_eV,LUMO_eV,GAP_eV,sheafHOMO,sheafLUMO,sheafGAP,electrons
c1ccc2cc3cc4cc5c(ccc6cc7ccccc7cc65)cc4cc3cc2c1,-6.143,-1.619,4.524,1.8538,2.3783,0.5245,30.0
c1ccc2cc3cc4cc5c(ccc6c7ccccc7ccc56)cc4cc3cc2c1,-6.05,-1.711,4.338,1.8958,2.3546,0.4588000000000001,30.0
c1ccc2cc3cc4cc5c6ccccc6c6ccccc6c5cc4cc3cc2c1,-6.155,-1.622,4.532,1.8597,2.4384,0.5787000000000002,30.0
c1ccc2c(c1)ccc1c2ccc2ccc3c(ccc4ccc5ccccc5c43)c21,-6.935,-0.751,6.184,1.8695,2.6854,0.8159000000000001,30.0
c1ccc2c(c1)ccc1cc3cc4cc5c(ccc6ccccc65)cc4cc3cc12,-6.191,-1.573,4.618,1.8841,2.4419,0.5577999999999999,30.0
c1ccc2c(c1)ccc1cc3cc4cc5ccc6ccccc6c5cc4cc3cc12,-6.192,-1.572,4.62,1.8837,2.4429,0.5591999999999999,30.0
c1ccc2cc3cc4cc5cc6c(ccc7ccccc76)cc5cc4cc3cc2c1,-5.849,-1.919,3.93,1.8814,2.3112,0.42979999999999996,30.0
c1ccc2c(c1)ccc1c2ccc2c1ccc1ccc3c4ccccc4ccc3c12,-6.957,-0.686,6.271,1.8676,2.6625,0.7949000000000002,30.0
c1ccc2c(c1)ccc1c2ccc2ccc3c4ccccc4c4ccccc4c3c21,-6.889,-0.759,6.131,1.9404,2.6865,0.7461000000000002,30.0
c1ccc2c(c1)ccc1ccc3c(ccc4ccc5ccc6ccccc6c5c43)c12,-6.934,-0.805,6.129,1.8677,2.733,0.8653000000000002,30.0
c1ccc2c(c1)ccc1c2ccc2c1ccc1ccc3ccc4ccccc4c3c12,-6.951,-0.717,6.234,1.872,2.6593,0.7872999999999999,30.0
c1ccc2c(c1)ccc1ccc3c4ccc5ccc6ccccc6c5c4ccc3c12,-6.96,-0.711,6.249,1.8719,2.7501,0.8782000000000003,30.0
c1ccc2c(c1)ccc1c2ccc2c3ccc4ccccc4c3c3ccccc3c12,-6.921,-0.759,6.162,1.9568,2.7139,0.7571000000000001,30.0
c1ccc2c(c1)ccc1c2ccc2c1ccc1c3ccccc3c3ccccc3c21,-6.895,-0.704,6.192,1.9403,2.6827,0.7424000000000002,30.0
c1ccc2c(c1)ccc1c3ccccc3c3c4ccccc4c4ccccc4c3c21,-6.852,-0.749,6.103,2.0346,2.7352,0.7005999999999997,30.0
c1ccc2c(c1)ccc1c2ccc2c1ccc1c3ccc4ccccc4c3ccc12,-6.96,-0.634,6.325,1.8695,2.6197,0.7502,30.0
c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2ccc3ccccc3c21,-6.971,-0.691,6.28,1.8675,2.66,0.7925000000000002,30.0
c1ccc2c(c1)c1ccccc1c1c2ccc2c3ccccc3c3ccccc3c21,-7.09,-0.644,6.447,1.9031,3.0,1.0969,30.0
c1ccc2c(c1)ccc1ccc3c(ccc4c5ccccc5c5ccccc5c43)c12,-6.872,-0.748,6.125,1.9403,2.7727,0.8324,30.0
c1ccc2c(c1)ccc1c2ccc2c3c4ccccc4ccc3c3ccccc3c12,-6.879,-0.794,6.085,1.9587,2.7275,0.7687999999999999,30.0
c1ccc2c(c1)ccc1c2ccc2c3ccccc3c3c4ccccc4ccc3c12,-6.86,-0.795,6.065,1.958,2.7156,0.7575999999999998,30.0
c1ccc2c(c1)ccc1c2ccc2c3ccccc3c3ccc4ccccc4c3c12,-6.926,-0.68,6.246,1.9598,2.6785,0.7187000000000001,30.0
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccc6ccccc6c5c4c3c12,-6.9,-0.792,6.107,1.8742,2.7239,0.8496999999999999,30.0
c1ccc2cc3c(ccc4ccc5ccc6ccc7ccccc7c6c5c43)cc2c1,-6.634,-1.015,5.619,1.8945,2.5706,0.6761000000000001,30.0
c1ccc2cc3c(ccc4ccc5ccc6cc7ccccc7cc6c5c43)cc2c1,-6.655,-1.004,5.651,1.8632,2.5215,0.6583000000000001,30.0
c1ccc2c(c1)ccc1c2c2ccccc2c2ccc3ccc4ccccc4c3c21,-6.899,-0.793,6.106,1.9565,2.7425,0.7860000000000003,30.0
c1ccc2cc3c(ccc4ccc5ccc6c7ccccc7ccc6c5c43)cc2c1,-6.654,-1.009,5.645,1.8953,2.5581,0.6628000000000001,30.0
c1ccc2cc3c(ccc4c5ccccc5c5cc6ccccc6cc5c34)cc2c1,-6.49,-1.172,5.319,1.9607,2.523,0.5623,30.0
c1ccc2cc3c(ccc4ccc5cc6c(ccc7ccccc76)cc5c43)cc2c1,-6.552,-1.19,5.362,1.881,2.5515,0.6704999999999999,30.0
c1ccc2cc3c(ccc4ccc5cc6ccc7ccccc7c6cc5c43)cc2c1,-6.537,-1.196,5.341,1.8823,2.5429,0.6605999999999999,30.0
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2c4ccccc4ccc2c13,-6.797,-0.888,5.909,1.921,2.6673,0.7463,30.0
c1ccc2c(c1)ccc1cc3c(ccc4ccc5c6ccccc6ccc5c43)cc12,-6.804,-0.905,5.9,1.8851,2.6425,0.7574000000000001,30.0
c1ccc2c(c1)ccc1cc3ccc4ccc5c6ccccc6ccc5c4c3cc12,-6.809,-0.905,5.904,1.8851,2.6589,0.7738,30.0
c1ccc2cc3c(ccc4ccc5c6ccccc6c6ccccc6c5c43)cc2c1,-6.713,-0.963,5.75,1.8977,2.5794,0.6817000000000002,30.0
c1ccc2cc3c(ccc4ccc5c6ccc7ccccc7c6ccc5c43)cc2c1,-6.68,-1.025,5.655,1.895,2.5742,0.6791999999999998,30.0
c1ccc2cc3c(ccc4ccc5c(ccc6ccc7ccccc7c65)c43)cc2c1,-6.641,-1.045,5.596,1.8953,2.5714,0.6761000000000001,30.0
c1ccc2c(c1)ccc1c2c2ccc3ccccc3c2c2ccc3ccccc3c12,-6.861,-0.836,6.025,1.9461,2.7746,0.8285,30.0
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccc4ccccc4c2cc31,-6.914,-0.856,6.058,1.9364,2.6758,0.7394000000000003,30.0
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2c(ccc4ccccc42)cc31,-6.913,-0.85,6.063,1.9363,2.712,0.7757000000000003,30.0
c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1c2ccccc2ccc31,-6.725,-0.911,5.814,1.9434,2.6506,0.7071999999999998,30.0
c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1cc2ccccc2cc31,-7.009,-0.947,6.062,1.8537,2.618,0.7643,30.0
c1ccc2cc3c(ccc4cc5c(ccc6ccc7ccccc7c65)cc43)cc2c1,-6.782,-0.917,5.865,1.8745,2.5619,0.6874,30.0
c1ccc2cc3c(ccc4cc5c(ccc6cc7ccccc7cc65)cc43)cc2c1,-6.652,-1.056,5.596,1.9044,2.5166,0.6121999999999999,30.0
c1ccc2cc3c(ccc4cc5c(ccc6c7ccccc7ccc56)cc43)cc2c1,-6.778,-0.878,5.9,1.8744,2.5434,0.669,30.0
c1ccc2cc3c(ccc4cc5c6ccccc6c6ccccc6c5cc43)cc2c1,-6.803,-0.903,5.9,1.9481,2.5789,0.6308,30.0
c1ccc2c(c1)ccc1cc3c(ccc4cc5ccc6ccccc6c5cc43)cc12,-6.852,-0.814,6.038,1.8721,2.6103,0.7382,30.0
c1ccc2c(c1)ccc1cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc12,-6.797,-0.817,5.98,1.8742,2.5849,0.7107000000000001,30.0
c1ccc2c(c1)ccc1c3ccc4ccccc4c3c3c4ccccc4ccc3c21,-6.828,-0.796,6.032,1.9489,2.6773,0.7283999999999997,30.0
c1ccc2c(c1)ccc1cc3ccc4cc5ccc6ccccc6c5cc4c3cc12,-6.916,-0.827,6.089,1.876,2.6427,0.7667000000000002,30.0
